pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht weight
2273.83 0.809228 0.540348 1771.82 0.898762 -2.261 4100.4 0.720091 0.412889 0.815388 0.511769 475.353 -2.13536 0.0619137 4878.84 0.0996691
328.4 0.527068 0.177194 280.034 1.55851 2.88052 755.744 0.754616 0.836151 0.789152 0.816195 89.0854 -2.44718 0.120308 661.866 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 70.2079 -2.78847 0.132016 258.367 0.0996691
320.443 0.889993 1.38036 -1 -1 -1 -1 0.752011 -1 0.810543 -1 257.782 -1.80782 0.169749 395.64 0.0996691
279.138 -0.449357 -2.71213 -1 -1 -1 -1 0.774916 -1 0.83225 -1 172.902 0.369518 0.0851188 467.04 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 44.2315 2.64413 0.0223222 243.531 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 42.577 -0.189979 0.25994 154.686 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 69.732 0.998868 0.0374222 318.736 0.0996691
583.883 1.44775 2.12632 -1 -1 -1 -1 0.763364 -1 0.821818 -1 379.359 -0.991143 0.242758 632.871 0.0996691
2150.69 -1.1892 -2.10704 1276.15 0.172596 2.67319 3425.49 0.265835 0.774608 0.766861 0.791288 1897.92 0.643219 0.183888 3900.23 0.0996691
2281.51 -1.13879 1.79629 1894.31 1.27629 -1.95076 7535.56 0.836196 0.531895 0.759868 0.734339 280.911 -0.925822 0.0403425 5149.42 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 28.5847 -2.2266 0.0862932 427.17 0.0996691
1503.25 -0.859723 -0.439248 1395.22 -0.304412 2.97226 3098.45 0.646926 0.505267 0.795532 0.746887 111.371 -1.06892 0.361388 3405.04 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 46.3012 0.758007 0.252342 216.871 0.0996691
286.851 0.323217 1.08838 -1 -1 -1 -1 0.76464 -1 0.853951 -1 173.878 -1.95081 0.0347335 385.464 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 94.9547 1.10656 0.0173842 342.997 0.0996691
1284.08 0.593987 2.72241 795.374 1.88139 -1.22226 2371.48 0.699608 0.787053 0.84373 0.858842 122.808 1.80724 0.491069 3248.28 -0.0996691
659.519 1.46498 2.19978 -1 -1 -1 -1 0.773741 -1 0.789665 -1 568.212 -0.732991 0.0334542 825.664 0.0996691
254.243 -2.36847 2.7761 -1 -1 -1 -1 0.743615 -1 0.79279 -1 55.2798 0.774401 0.185436 414.331 0.0996691
269.069 -1.70839 -1.58584 -1 -1 -1 -1 0.812304 -1 0.792914 -1 99.2956 1.67628 0.333261 439.505 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 24.2548 -0.253431 0.125643 224.55 0.0996691
396.499 -1.52855 -0.737212 374.822 -0.533608 2.40234 931.584 0.713063 0.818352 0.77116 0.875187 85.2911 -2.8264 0.0411303 778.669 0.0996691
1548.29 0.174507 -0.738193 756.977 0.0316266 1.31579 1999.26 0.788354 0.341754 0.804199 0.711689 1307.76 2.86411 0.245625 2315.01 0.0996691
314.559 -1.20296 -2.6821 -1 -1 -1 -1 0.784732 -1 0.801328 -1 258.881 0.440673 0.185994 496.522 0.0996691
278.659 1.12478 -2.38603 -1 -1 -1 -1 0.805602 -1 0.739648 -1 184.465 0.056603 0.0612771 588.137 0.0996691
2220.64 -0.525714 2.31951 2120.26 1.30116 -0.816063 6409.15 0.204238 0.390727 0.779269 0.753366 18.0983 -0.815945 0.00541443 4304.6 0.0996691
1883.75 0.633509 0.300841 1413.32 0.473175 2.63126 3108.69 0.666445 0.638002 0.835318 0.798281 145.338 -1.08336 0.127264 4653.89 0.0996691
369.1 1.91051 -0.945182 -1 -1 -1 -1 0.802134 -1 0.83674 -1 312.698 2.21251 0.051352 462.869 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 62.7265 1.80764 0.0373485 379.653 0.0996691
1774.04 -0.264956 -2.88571 1168.8 0.765081 0.962335 3177.7 0.814408 0.847634 0.791562 0.812655 41.8992 2.67371 0.422817 3797.82 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 179.523 -2.61955 0.147627 316.436 0.0996691
1322.6 0.330895 -0.82666 1291.41 -1.04107 3.09718 3141.82 0.719213 0.703248 0.753643 0.764847 307.708 1.54198 0.0498358 3234.97 0.0996691
391.34 -0.199377 3.09291 -1 -1 -1 -1 0.759688 -1 0.737836 -1 355.33 0.00970591 0.0925967 470.267 0.0996691
1027.12 -1.09437 2.02662 718.723 0.383014 -0.0523 2113.57 0.529838 0.782752 0.755913 0.810469 850.278 -1.84324 0.530843 1820.34 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 76.729 0.565647 0.135749 211.316 0.0996691
1812.81 -0.805228 -0.915889 1294.06 -1.28297 1.45212 2996.6 0.687879 0.694261 0.804697 0.767114 119.008 2.32436 0.117603 5019.82 0.0996691
1031.04 -0.924863 -2.02934 -1 -1 -1 -1 0.480903 -1 0.801195 -1 685.679 1.05332 0.104225 1228.05 0.0996691
1470.48 0.236205 2.9069 1241.08 -0.396315 0.676692 2706.11 0.589852 0.476678 0.392121 0.783273 1027.88 -1.29029 0.221168 2873.12 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 50.0192 -0.00894864 0.0641947 235.05 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 9.68431 -1.99077 0.17696 489.638 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 43.4267 -1.97664 0.436367 250.619 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 1.84696 1.59403 0.0945224 210.263 0.0996691
1547.14 0.35616 -0.583722 642.136 -1.07034 -2.06322 2129.23 0.793574 0.647864 0.744418 0.862584 1099.08 2.23802 0.00206852 2632.77 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 23.7035 -2.24546 0.00711465 335.7 0.0996691
290.533 -1.72072 1.78598 257.183 -3.14616 -1.27988 792.797 0.743375 0.810887 0.77703 0.762838 17.76 -1.59561 0.0520691 618.724 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 53.1719 2.95944 0.143271 387.498 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 42.4329 2.4443 0.111476 340.473 0.0996691
1626.54 0.225897 -2.15504 1120.24 -0.843234 1.48778 3142.66 0.743938 0.348639 0.783879 0.766263 666.062 0.361484 0.0748362 2879.67 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 81.0415 1.01899 0.201244 301.94 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 20.2845 -1.91855 0.104664 183.83 0.0996691
579.019 -0.335482 0.472744 421.956 1.08929 -2.69795 1290.63 0.869828 0.690949 0.777175 0.752731 161.517 -2.85213 0.0807531 982.702 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 12.7992 -1.86597 0.0883338 202.082 0.0996691
663.558 -2.60726 -0.600861 293.942 0.878648 2.54237 2635.15 0.756269 0.756902 0.794902 0.882606 343.113 2.61928 0.0277727 1068.76 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 47.4553 2.40149 0.0123298 494.998 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 44.6941 2.67835 0.188664 281.411 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 89.5387 -3.09856 0.00447798 348.204 -0.0996691
928.229 -1.02091 -2.5551 744.323 -0.460662 0.523981 1814.23 0.860509 0.759459 0.754647 0.853782 197.53 0.872106 0.0803126 1667.15 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 36.9485 -1.27024 0.139409 282.72 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 32.2376 1.20611 0.204795 261.519 0.0996691
1818.3 -0.0662187 0.0745106 1622 0.842415 2.67294 3900.04 0.560225 0.233418 0.468265 0.825363 403.681 1.73857 0.194 4962.69 -0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 41.6184 -2.03151 0.0985477 339.581 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 42.5096 1.34352 0.0425847 466.321 0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 17.7284 -2.87537 0.00445056 287.788 0.0996691
677.084 -0.226532 -2.48273 566.344 -0.71121 0.674666 1321.19 0.823917 0.755781 0.856465 0.831284 68.9002 1.24584 0.400849 1955.49 0.0996691
2605.67 -0.513155 1.48717 753.361 1.00115 -1.63099 3722.86 0.329604 0.518557 0.492745 0.701923 1300.38 -1.62957 0.0623494 4006.13 -0.0996691
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 130.71 -1.21654 0.169412 323.105 0.0996691
