pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
1284.7 -0.291923 -0.104787 657.881 1.25038 1.28895 1967.95 1979.19 0.383906 0.540417 0.500419 0.515319 1514.07 -2.95383 0.0237281 3072.54 0.442588 1.5571
1381.78 0.559403 0.0747296 955.375 1.21024 3.02688 2429.98 2442.32 0.247471 0.0519715 0.683392 0.27135 96.734 -1.39907 0.145942 3464.82 0.871163 1.5571
1681.64 0.114601 0.838839 1214.96 -0.42718 -3.02267 2865.41 2307.67 0.18979 0.382847 0.627451 0.655641 451.274 -3.04406 0.0119419 4158.6 0.960298 1.5571
-1 -1 -1 -1 -1 -1 -1 459.295 -1 -1 -1 -1 21.3565 -0.13474 0.212933 210.995 0.18481 1.5571
1437.45 0.9804 0.891575 893.226 -0.383132 3.08683 2646.11 2626.22 0.339786 0.774507 0.648068 0.835903 1188.11 -1.5947 1.60381 2330.76 0.504016 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 6.11452 -2.47336 0.674179 27.0934 1 1.5571
545.212 1.53157 0.950457 431.997 -0.0515775 0.743264 897.847 1144.36 0.319563 0.372122 0.759649 0.654329 1104.57 -2.57001 1.75483 1437.29 0.860693 1.5571
979.754 1.61624 3.08459 709.745 0.183399 0.125326 2179.44 1869.26 0.342676 0.226076 0.540706 0.812884 674.271 -0.25201 0.00782573 2169.32 0.629843 -1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 36.7588 -0.326362 3.00406 27.9059 1 1.5571
950.85 0.925886 -1.10203 819.073 -0.199962 2.72717 1970.29 1978.25 0.343654 0.0995616 0.566397 0.151642 233.535 0.390745 0.0846133 3130.32 0.32834 1.5571
1534.39 0.519395 -0.121987 1422.98 -0.174646 -2.82057 3079.77 3050 0.350835 0.666061 0.503464 0.514378 502.442 -3.11883 0.0230756 3855.68 0.96505 -1.5571
1047.6 0.393923 -2.99139 961.715 0.571993 0.433217 2020.22 1958.94 0.545518 0.686635 0.630332 0.616007 168.833 -3.06833 0.0796206 3686.84 0.140018 1.5571
1666.8 -0.0277685 -0.786853 1254.64 -0.372759 1.82942 2898.48 2790.01 0.503158 0.508501 0.5603 0.636013 725.115 3.13124 0.180977 2957.01 0.965597 1.5571
