pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 37.0311 1.42891 -1 0 -1 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 213.843 -2.38555 3.05927 182.406 1 1.5571
3120.7 -0.00228718 1.51988 2036.98 0.765995 -1.63862 5454.47 5516.25 0.292667 0.163355 0.507812 0.948495 809.462 -1.68739 0.0491439 5499.85 0.208925 1.5571
1304.2 1.38693 -2.56173 1192.79 0.589225 0.0897936 2705.13 2172.84 0.586262 0.510344 0.608977 0.694273 103.721 -1.01081 0.499585 3421.72 0.334979 1.5571
1127.92 0.959461 -1.96784 566.686 -0.538581 1.34094 2092.19 1695.59 0.354341 0.510196 0.486753 0.798753 184.822 1.51814 0.179554 2170.19 0.265492 1.5571
974.063 0.903381 -1.97617 839 0.138827 1.04472 1987.87 1719.6 0.738945 0.587478 0.776741 0.822205 206.031 1.54391 0.105979 2089.99 0.727046 1.5571
1294.53 1.07324 0.785961 844.003 -0.56788 -2.64859 2831.16 2793.72 0.338699 0.699213 0.740014 0.711092 531.164 -1.7621 0.419417 2187.45 0.964286 1.5571
990.223 1.18727 3.11218 667.554 0.219817 2.79384 903.982 749.331 0.464619 0.415324 0.799806 0.610808 1628.08 -0.0904524 1.70967 1757.44 0.94055 1.5571
1650.28 -0.469479 -2.98417 1076.19 0.130951 -0.989229 2435.02 2326.52 0.71041 0.720105 0.749667 0.802439 704.8 1.02966 0.0469493 3656.9 0.903461 1.5571
2652.56 0.395353 -1.07939 1400.52 0.835514 2.67001 3832.02 3640.39 0.791536 0.60654 0.62598 0.651072 1699.59 1.56695 0.265075 4116.97 0.953019 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 125.577 -1.5109 3.08447 93.5 1 1.5571
-1 -1 -1 -1 -1 -1 -1 17.3478 -1 -1 -1 -1 42.4779 1.2015 0.99103 115.533 0.12474 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 67.061 -1.70378 3.04129 74.3421 1 1.5571
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 22.073 0.544868 -1 0 -1 1.5571
685.31 0.0467138 -2.99735 -1 -1 -1 -1 151.122 0.69282 -1 0.667333 -1 679.786 0.126588 2.83241 696.25 0.997826 1.5571
984.374 0.695907 2.17504 928.719 1.29914 -1.96077 1787.75 1809.48 0.388006 0.589254 0.460594 0.542402 892.321 -0.0385861 1.53992 2056.4 0.960307 1.5571
1019.17 1.18878 -0.941685 687.064 1.2225 1.01246 1392.82 1402.77 0.620503 0.869083 0.599747 0.855663 775.648 2.69471 0.759459 1987.84 0.757244 -1.5571
1218.87 -0.0476803 -0.108261 490.43 0.0719538 -3.11155 1709.4 523.079 0.0810186 0.455409 0.784982 0.70909 668.911 2.43889 0.307422 2198.95 0.912748 1.5571
837.383 0.0662998 2.74434 785.787 -0.870991 -0.981822 1756.25 1741.44 0.7252 0.265389 0.759743 0.872764 461.373 0.73238 1.71159 1621.01 0.294437 1.5571
