pT_j1 eta_j1 phi_j1 pT_j2 eta_j2 phi_j2 m_jj sm_jj tau21_j1 tau21_j2 tau32_j1 tau32_j2 met phi_met min_dPhi ht pt_balance weight
-1 -1 -1 -1 -1 -1 -1 304.679 -1 -1 -1 -1 58.6375 -2.73329 0.0044837 424.879 0.514091 92.9047
427.206 -1.25988 0.941387 -1 -1 -1 -1 556.59 0.560286 -1 0.644242 -1 514.373 -2.50673 1.33781 652.53 0.674371 -92.9047
664.369 0.242986 1.66383 601.34 0.384833 -0.21511 1031.4 1025.93 0.450344 0.65893 0.567703 0.562241 547.369 -2.41807 0.027653 1413.75 0.932289 92.9047
-1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 60.6702 1.88664 3.08195 43.4677 1 92.9047
759.096 0.209681 -0.427238 265.587 -0.58317 -1.81698 692.18 683.234 0.283973 0.560345 0.413744 0.64469 710.207 2.47884 0.110878 1160.95 0.90671 92.9047
782.139 -0.846893 -1.30998 546.698 -0.776343 2.3899 1298.7 944.643 0.37754 0.360286 0.790632 0.771084 187.822 0.695272 0.485031 1558.02 0.943798 92.9047
386.06 -0.331888 1.28211 253.252 -2.19336 3.00762 863.157 735.514 0.674379 0.285372 0.674364 0.758538 366.463 -1.38023 0.653422 729.004 0.340814 92.9047
404.434 -0.24043 -2.363 -1 -1 -1 -1 566.919 0.767555 -1 0.662567 -1 351.698 0.199007 1.56736 625.561 0.543781 92.9047
644.594 0.155338 0.939372 -1 -1 -1 -1 310.773 0.171574 -1 0.497406 -1 658.04 -2.09447 1.04164 764.154 0.918168 92.9047
731.707 0.584254 -0.331752 448.962 0.55013 2.06123 1073.31 1084.43 0.104896 0.619473 0.038874 0.690946 293.799 -2.56089 0.657834 1446.45 0.503641 92.9047
1018.63 -0.949487 -0.853307 361.5 -0.099727 -2.57177 1067.16 1071.33 0.703156 0.720758 0.794577 0.776987 1007.9 2.00162 1.70949 1413.29 0.746369 92.9047
994.029 0.871378 -1.64362 662.42 -0.0720503 2.27475 1705.49 1731.07 0.295527 0.482696 0.559853 0.271655 604.196 -0.247962 1.39565 2325.58 0.421591 92.9047
591.516 -0.977147 -1.77395 -1 -1 -1 -1 702.196 0.651977 -1 0.777903 -1 373.805 1.21477 0.0540779 849.177 0.868523 92.9047
481.305 0.905782 0.164885 368.925 -2.47161 -2.37351 2347.04 2294.82 0.398612 0.598764 0.551671 0.804287 102.78 1.4681 1.30233 1035.38 0.34802 92.9047
776.501 0.114161 -2.8989 722.088 1.17766 -0.0842368 1721.09 1709.91 0.201679 0.657698 0.762265 0.722269 203.846 1.28996 1.07017 1538 0.977581 92.9047
685.987 0.887344 -2.78114 346.133 0.0747057 1.17482 992.075 972.024 0.546574 0.133178 0.457744 0.593031 670.116 -0.364765 1.53582 1243.75 0.879767 92.9047
810.822 -0.0617225 -0.0693956 782.118 -1.00469 3.05119 1781.19 1771.24 0.568002 0.448576 0.54614 0.740033 48.5573 -2.60742 0.618117 1585.52 0.0219899 92.9047
668.58 -0.999801 -1.63172 624.482 -0.44992 1.43024 1356.04 1312.37 0.637583 0.309767 0.429274 0.321897 32.0262 2.79758 0.983776 1331.83 0.89637 92.9047
584.691 -0.74154 -2.62415 355.658 0.499676 2.16721 868.534 878.263 0.566772 0.19176 0.643271 0.613751 697.099 -0.0114969 0.995101 1002.82 0.957114 92.9047
710.162 -0.86695 1.12749 560.586 0.0748868 2.931 1170.91 1185.53 0.25971 0.347043 0.390469 0.600986 463.308 -0.955651 0.521655 1674.35 0.611011 92.9047
564.512 -0.36788 -2.3408 -1 -1 -1 -1 486.216 0.569011 -1 0.65459 -1 621.699 0.800448 0.614622 719.389 0.902862 92.9047
586.29 -0.764018 1.77436 502.61 -0.933602 0.359857 720.211 708.72 0.598209 0.437423 0.757744 0.728324 336.778 -2.11885 0.0962973 1578.43 0.915091 92.9047
-1 -1 -1 -1 -1 -1 -1 629.584 -1 -1 -1 -1 106.896 -0.262402 0.111556 277.661 0.616293 92.9047
435.274 0.657238 2.27531 334.926 2.18117 3.09211 737.635 694.913 0.41874 0.544293 0.685239 0.670147 706.27 -0.502439 2.68266 764.092 0.998757 92.9047
435.946 -0.546789 2.54097 -1 -1 -1 -1 444.535 0.330405 -1 0.508264 -1 322.921 -0.304539 0.80792 602.548 0.632107 92.9047
426.047 1.64755 -1.54878 -1 -1 -1 -1 510.023 0.766363 -1 0.738596 -1 369.888 2.18258 0.244795 694.699 0.917179 92.9047
363.078 0.725309 -2.69406 311.834 -1.9571 -0.183164 1360.62 1353.66 0.638665 0.470906 0.647288 0.783652 250.157 1.48948 1.66709 673.204 0.318205 92.9047
